T05,International migrants and refugees,,,,,
104,Myanmar,2020,Total population of concern to UNHCR (number),"800,378",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
104,Myanmar,2021,Other of concern to UNHCR (number),"1,178,484","The estimated figure of persons of concern under the statelessness mandate relates to stateless persons of Rohingya ethnicity in Rakhine State and also includes stateless IDPs in Myanmar. The number of persons of undetermined nationality residing in other states or regions in Myanmar is not currently available. The number of stateless persons remaining in Rakhine State following violence in 2016 and 2017 and large scale departures to Bangladesh is based on detailed estimates for each village tract made by UNHCR, other UN agencies and NGOs in early 2018, which concluded that between 532,000 to 600,000 Rohingya remained in Rakhine State (Excludes an estimated 141907 of those Rohingya who have been internally displaced). For the purposes of this report, the higher range of this estimate has been used.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
104,Myanmar,2021,Total population of concern to UNHCR (number),"1,029,998",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2005,International migrant stock: Both sexes (number),"107,347",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2005,International migrant stock: Both sexes (% total population),5.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2005,International migrant stock: Male (% total Population),6.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2005,International migrant stock: Female (% total Population),5.0,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2005,Total refugees and people in refugee-like situations (number),"5,307",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2005,"Asylum seekers, including pending cases (number)","1,073",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2005,Other of concern to UNHCR (number),"2,752",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2005,Total population of concern to UNHCR (number),"9,132",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2010,International migrant stock: Both sexes (number),"103,826",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2010,International migrant stock: Both sexes (% total population),4.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2010,International migrant stock: Male (% total Population),5.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2010,International migrant stock: Female (% total Population),4.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2010,Total refugees and people in refugee-like situations (number),"7,254",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2010,"Asylum seekers, including pending cases (number)","1,421",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2010,Other of concern to UNHCR (number),93,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2010,Total population of concern to UNHCR (number),"8,768",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2015,International migrant stock: Both sexes (number),"101,618",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2015,International migrant stock: Both sexes (% total population),4.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2015,International migrant stock: Male (% total Population),4.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2015,International migrant stock: Female (% total Population),3.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2015,Total refugees and people in refugee-like situations (number),"1,659",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2015,"Asylum seekers, including pending cases (number)","1,100",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2015,Other of concern to UNHCR (number),"1,684",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2015,Total population of concern to UNHCR (number),"4,443",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2020,International migrant stock: Both sexes (number),"109,391",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2020,International migrant stock: Both sexes (% total population),4.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2020,International migrant stock: Male (% total Population),4.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2020,International migrant stock: Female (% total Population),3.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
516,Namibia,2020,Total refugees and people in refugee-like situations (number),"3,304",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2020,"Asylum seekers, including pending cases (number)","2,212",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2020,Other of concern to UNHCR (number),9,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2020,Total population of concern to UNHCR (number),"5,525",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2021,Total refugees and people in refugee-like situations (number),"3,537",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2021,"Asylum seekers, including pending cases (number)","2,265",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
516,Namibia,2021,Total population of concern to UNHCR (number),"5,802",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2005,International migrant stock: Both sexes (number),"2,253",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2005,International migrant stock: Both sexes (% total population),22.9,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2010,International migrant stock: Both sexes (number),906,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2010,International migrant stock: Both sexes (% total population),9.1,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2015,International migrant stock: Both sexes (number),"1,833",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2015,International migrant stock: Both sexes (% total population),17.7,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2015,Total refugees and people in refugee-like situations (number),506,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2015,"Asylum seekers, including pending cases (number)",290,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2015,Total population of concern to UNHCR (number),796,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2020,International migrant stock: Both sexes (number),"2,201",Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2020,International migrant stock: Both sexes (% total population),20.3,Including refugees.;Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
520,Nauru,2020,Total refugees and people in refugee-like situations (number),"1,060",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2020,"Asylum seekers, including pending cases (number)",90,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2020,Total population of concern to UNHCR (number),"1,150",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2021,Total refugees and people in refugee-like situations (number),964,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2021,"Asylum seekers, including pending cases (number)",77,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2021,Other of concern to UNHCR (number),139,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
520,Nauru,2021,Total population of concern to UNHCR (number),"1,047",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2005,International migrant stock: Both sexes (number),"680,729",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2005,International migrant stock: Both sexes (% total population),2.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2005,International migrant stock: Male (% total Population),1.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2005,International migrant stock: Female (% total Population),3.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2005,Total refugees and people in refugee-like situations (number),"126,436",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2005,"Asylum seekers, including pending cases (number)","1,272",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2005,Other of concern to UNHCR (number),"410,929",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2005,Total population of concern to UNHCR (number),"538,637",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2010,International migrant stock: Both sexes (number),"581,889",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2010,International migrant stock: Both sexes (% total population),2.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2010,International migrant stock: Male (% total Population),1.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2010,International migrant stock: Female (% total Population),2.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2010,Total refugees and people in refugee-like situations (number),"89,808",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2010,"Asylum seekers, including pending cases (number)",938,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2010,Other of concern to UNHCR (number),"800,571",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2010,Total population of concern to UNHCR (number),"891,317",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2015,International migrant stock: Both sexes (number),"509,471",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2015,International migrant stock: Both sexes (% total population),1.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2015,International migrant stock: Male (% total Population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2015,International migrant stock: Female (% total Population),2.4,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2015,Total refugees and people in refugee-like situations (number),"36,287",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2015,"Asylum seekers, including pending cases (number)",57,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2015,Other of concern to UNHCR (number),409,"Various studies estimate that a large number of individuals lack citizenship certificates in Nepal. While these individuals are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2015,Total population of concern to UNHCR (number),"36,753",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2020,International migrant stock: Both sexes (number),"487,564",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2020,International migrant stock: Both sexes (% total population),1.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2020,International migrant stock: Male (% total Population),1.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2020,International migrant stock: Female (% total Population),2.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
524,Nepal,2020,Total refugees and people in refugee-like situations (number),"19,532",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2020,"Asylum seekers, including pending cases (number)",69,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2020,Other of concern to UNHCR (number),534,"Excludes 351 stateless Rohingya refugees from Myanmar. Separately, various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2020,Total population of concern to UNHCR (number),"20,135",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2021,Total refugees and people in refugee-like situations (number),"19,552",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2021,"Asylum seekers, including pending cases (number)",64,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2021,Other of concern to UNHCR (number),948,"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
524,Nepal,2021,Total population of concern to UNHCR (number),"20,169",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2005,International migrant stock: Both sexes (number),"1,736,127",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2005,International migrant stock: Both sexes (% total population),10.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2005,International migrant stock: Male (% total Population),10.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2005,International migrant stock: Female (% total Population),10.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2005,Total refugees and people in refugee-like situations (number),"118,189",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2005,"Asylum seekers, including pending cases (number)","14,664",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2005,Other of concern to UNHCR (number),"6,872",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2005,Total population of concern to UNHCR (number),"139,725",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2010,International migrant stock: Both sexes (number),"1,832,510",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2010,International migrant stock: Both sexes (% total population),11.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2010,International migrant stock: Male (% total Population),10.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2010,International migrant stock: Female (% total Population),11.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2010,Total refugees and people in refugee-like situations (number),"74,961",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2010,"Asylum seekers, including pending cases (number)","13,053",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2010,Other of concern to UNHCR (number),"2,095",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2010,Total population of concern to UNHCR (number),"90,109",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2015,International migrant stock: Both sexes (number),"1,996,318",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2015,International migrant stock: Both sexes (% total population),11.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2015,International migrant stock: Male (% total Population),11.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2015,International migrant stock: Female (% total Population),12.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2015,Total refugees and people in refugee-like situations (number),"82,494",Data relates to the end of 2014.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2015,"Asylum seekers, including pending cases (number)","8,097",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2015,Other of concern to UNHCR (number),"1,951",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2015,Total population of concern to UNHCR (number),"92,542",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2020,International migrant stock: Both sexes (number),"2,358,333",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2020,International migrant stock: Both sexes (% total population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2020,International migrant stock: Male (% total Population),13.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2020,International migrant stock: Female (% total Population),14.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
528,Netherlands,2020,Total refugees and people in refugee-like situations (number),"92,740",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2020,"Asylum seekers, including pending cases (number)","13,348",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2020,Other of concern to UNHCR (number),"1,951",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2020,Total population of concern to UNHCR (number),"108,039",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2021,Total refugees and people in refugee-like situations (number),"97,621",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2021,"Asylum seekers, including pending cases (number)","7,413",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2021,Other of concern to UNHCR (number),"2,087",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
528,Netherlands,2021,Total population of concern to UNHCR (number),"106,985",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
540,New Caledonia,2005,International migrant stock: Both sexes (number),"55,405",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2005,International migrant stock: Both sexes (% total population),23.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2005,International migrant stock: Male (% total Population),25.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2005,International migrant stock: Female (% total Population),21.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2010,International migrant stock: Both sexes (number),"61,158",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2010,International migrant stock: Both sexes (% total population),24.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2010,International migrant stock: Male (% total Population),25.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2010,International migrant stock: Female (% total Population),22.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2015,International migrant stock: Both sexes (number),"68,881",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2015,International migrant stock: Both sexes (% total population),25.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2015,International migrant stock: Male (% total Population),26.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2015,International migrant stock: Female (% total Population),24.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2020,International migrant stock: Both sexes (number),"73,141",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2020,International migrant stock: Both sexes (% total population),25.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2020,International migrant stock: Male (% total Population),26.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
540,New Caledonia,2020,International migrant stock: Female (% total Population),24.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2005,International migrant stock: Both sexes (number),"839,952",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2005,International migrant stock: Both sexes (% total population),20.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2005,International migrant stock: Male (% total Population),20.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2005,International migrant stock: Female (% total Population),20.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2005,Total refugees and people in refugee-like situations (number),"5,307",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2005,"Asylum seekers, including pending cases (number)",396,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2005,Other of concern to UNHCR (number),6,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2005,Total population of concern to UNHCR (number),"5,709",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2010,International migrant stock: Both sexes (number),"947,443",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2010,International migrant stock: Both sexes (% total population),21.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2010,International migrant stock: Male (% total Population),21.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2010,International migrant stock: Female (% total Population),22.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2010,Total refugees and people in refugee-like situations (number),"2,307",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2010,"Asylum seekers, including pending cases (number)",216,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2010,Other of concern to UNHCR (number),1,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2010,Total population of concern to UNHCR (number),"2,524",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2015,International migrant stock: Both sexes (number),"1,039,736",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2015,International migrant stock: Both sexes (% total population),22.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2015,International migrant stock: Male (% total Population),22.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2015,International migrant stock: Female (% total Population),22.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2015,Total refugees and people in refugee-like situations (number),"1,349",Data relates to the end of 2014.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
